rank,score,record_id,patent_id,domain,title,abstract,candidate_type,source
1,0.9,32263688,32263688,hydrogen-storage-technology-ablnocorp,Hydrogen storage alloy for battery,"&lt;P&gt;PROBLEM TO BE SOLVED: To provide a hydrogen storage alloy for batteries.  &lt;P&gt;SOLUTION: The hydrogen storage alloy is an alloy which is expressed by a formula (Mm)B&lt;SB&gt;5&lt;/SB&gt;, where the Mm is La, Ce, Pr, Nd metal and/or an alloy containing these and in which the molar ratio of La is 0.45 to 0.47, the molar ratio of Ce is 0.36 to 0.40, the molar ratio of Pr is 0.03 to 0.04 and the molar ratio of Nd is 0.10 to 0.12. The B is Ni, Co, Mn, Al metal and/or an alloy containing these and in which the molar ratio of Ni is 3.47 to 3.57, the molar ratio of Co is 0.71 to 0.76, the molar ratio of Mn is 0.39 to 0.43 and the molar ratio of Al is 0.28 to 0.29. Also, the electrochemical capacity of the hydrogen storage alloy is 325 to 340 mAh/g.  &lt;P&gt;COPYRIGHT: (C)2004,JPO",positive,in_domain
2,0.9,45934325,45934325,hydrogen-storage-technology-ablnocorp,High-Capacity Complex Hydrogen Storage Materials and a Process of Releasing Hydrogen,"Disclosed herein provide compositions and hydrogen release methods for a high-capacity complex hydrogen storage material. The hydrogen storage material is mainly composed of metal borohydride and NH 3 . The invention advantageously adopt ammonia, one cheap and easily supplied material with high hydrogen content (17.6 wt %), as one of the hydrogen source, offering a safe and efficient way to store hydrogen and release hydrogen. Furthermore, the hydrogen storage material can be further catalyzed by a transition metal catalyst to improve the dehydrogenation kinetics. With the addition of catalyst, 0.2-10 equiv. H 2  could be evolved at −100˜600° C., which might be applied on vehicles which are fueled by hybrid or fuel cell.",positive,in_domain
3,0.9,73308522,73308522,hydrogen-storage-technology-ablnocorp,Boil-off gas recovery system of hydrogenation station,"The invention relates to the technical field of hydrogenation stations, and discloses an evaporated gas recovery system of a hydrogenation station. The boil-off gas recovery system of the hydrogen filling station comprises a hydrogen storage tank, a hydrogen liquefying system, a liquid hydrogen gasifying system, a liquid hydrogen filling system, a hydrogen filling system and a hydrogen cache system, wherein the hydrogen storage tank comprises a liquid hydrogen storage space and a low-temperature gas phase space, the inlet end of the hydrogen liquefying system is respectively communicated with the liquid hydrogen storage space and the low-temperature gas phase space, the outlet end of the hydrogen liquefying system is respectively communicated with the liquid hydrogen filling system and the liquid hydrogen gasifying system, the outlet end of the liquid hydrogen gasifying system is communicated with the hydrogen filling system, the hydrogen filling system is communicated with the low-temperature gas phase space, the hydrogen cache system is connected in parallel on a pipeline communicated with the hydrogen filling system and the low-temperature gas phase space, and the hydrogen cache system is communicated with the. The boil-off gas recovery system of the hydrogen filling station can realize mixed filling, can fully recycle the hydrogen boil-off gas in the station, and realizes energy conservation and emission reduction.",positive,in_domain
4,0.9,38589831,38589831,hydrogen-storage-technology-ablnocorp,Hydrogen storage material and its production method,"&lt;P&gt;PROBLEM TO BE SOLVED: To provide a new hydrogen storage material and its production method in which a hydrogen desorption temperature is low.  &lt;P&gt;SOLUTION: A first hydrogen storage material, which has nano-structurized and hydrocabonized boron nitride as a skeleton and desorbs hydrogen by heating, is obtained by crushing hexagonal boron nitride under a hydrocarbon gas atmosphere so that the long period crystal structure is minute. Further, a second hydrogen storage material, which is lower than the first hydrogen storage material in hydrogen desorption temperature and is depressed in generation of hydrocarbon, is obtained by crush mixing the first storage material and lithium hydride under Ar gas atmosphere.  &lt;P&gt;COPYRIGHT: (C)2007,JPO&amp;INPIT",positive,in_domain
5,0.9,43485639,43485639,hydrogen-storage-technology-ablnocorp,System and method for supplying hydrogen and hydrogen fuel cell system.,"A system and a method for supplying hydrogen and a hydrogen fuel cell system are provided. The system for supplying hydrogen includes a hydrogen infusing unit and a hydrogen supply unit (100) which comprises a hydrogen storage unit (1), a hydrogen conveying unit (2) and a charging apparatus (3) connected with the hydrogen storage unit, wherein the charging apparatus (3) comprises a charging opening (31) matched with the hydrogen infusing unit which comprises an infusing apparatus matched with the charging opening (31). The external infusing apparatus uses the charging opening (31) to infuse hydrogen to the hydrogen storage container contained in the hydrogen storage unit, which avoids replacement of the hydrogen storage container (13) during the entire infusing process, and enables the intensively supplementing hydrogen period in a convenient and fast manner.",positive,in_domain
6,0.9,49023716,49023716,hydrogen-storage-technology-ablnocorp,Parahydrogen adiabatic conversion refrigerating device,"The utility model provides a parahydrogen adiabatic conversion refrigerating device. The refrigerating device mainly comprises a liquid hydrogen storing tank, a converter, a catalyst, a throttling hole, a hydrogen guiding pipe, a condensing heat exchanger, an emptying leading-out pipe and a valve, wherein the converter, the throttling hole, the hydrogen guiding pipe and the condensing heat exchanger are mounted at the top end of the inside of the liquid hydrogen storing tank; a parahydrogen conversion catalyst is contained in the converter; one end of the throttling hole is connected with the converter while the other end is connected with the hydrogen guiding pipe; two ends of the condensing heat exchanger are respectively connected with the hydrogen guiding pipe and the emptying leading-out pipe; and the emptying leading-out pipe extends out of the liquid hydrogen storing tank and is connected with the valve. According to the refrigerating device, the parahydrogen in the storing tank can be converted into orthohydrogen; and the hydrogen in the tank is liquefied partially by utilizing the converted refrigerating energy, so that the evaporation loss of the liquid hydrogen storage is reduced. The refrigerating device is free of requiring a moving component and extra power and is high in reliability, thereby being widely applied to the liquid hydrogen storage on the ground and in the space.",positive,in_domain
7,0.9,40892215,40892215,hydrogen-storage-technology-ablnocorp,ADIABATIC TANK FOR METAL HYDRIDE,,positive,in_domain
8,0.9,41167339,41167339,hydrogen-storage-technology-ablnocorp,System of keeping and supply of hydrogen,"FIELD: machine building, keeping liquids and gases. 
     SUBSTANCE: invention refers to hydrogen energy industry, i.e. to accumulating, keeping and releasing of hydrogen for utilisation in transport and stationary power installations. The technical result is achieved by manufacture of a package of micro-capillaries in the system of keeping and supply of hydrogen in form of a cylinder bottle-shaped figure. The package is sealed from the cylinder part end of a bigger radius and is opened at neck part located in the case of a valve point with the installed drive of a needle valve; neck-type part of the package is secured in an input channel of the valve point case wherein the needle valve is located; the needle valve is controlled with a mechanism built-in into the body of the valve point. Diametre of the neck part of micro-capillaries package from the side of their open ends is 0.05-0.10 of diametre of the cylinder part of the package, while an aspect number of micro-capillaries in neck and cylinder parts is within ranges of 0.01-0.10. 
     EFFECT: increased specific capacity of cartridge for gaseous hydrogen, reduced time of hydrogen releasing and charging cartridge with hydrogen at any ambient temperature; control over process of hydrogen releasing, increased reliability of operation of system of release and charging cartridge with hydrogen, reduced power costs for charge and release of hydrogen and elimination of hydrogen leaks from cartridges. 
     2 cl, 3 dwg",positive,in_domain
9,0.9,13462557,13462557,hydrogen-storage-technology-ablnocorp,Production of hydrogen occlusion alloy powder and negative electrode for nickel-hydr0gen battery formed by using this powder,"PROBLEM TO BE SOLVED: To significantly improve the hydrogen storage rate of a hydrogen storage alloy powder, to improve the electrochemical characteristics when the powder is used for a battery, and to prevent the powder from deteriorating the battery characteristics for a long time. Disclosed is a method for producing a hydrogen storage alloy powder that enables storage, and a negative electrode for a Ni hydrogen battery using the powder. SOLUTION: The powder produced by using the gas atomization method is heat-treated, immersed in water or an alkali solution without being exposed to the atmosphere, and then subjected to surface treatment with an acid solution, thereby producing a hydrogen storage alloy powder. A method and a negative electrode for a nickel-metal hydride battery manufactured by wrapping a paste obtained by mixing a powder and a binder according to the present invention with a nickel mesh and then pressing the paste.",positive,in_domain
10,0.9,34413065,34413065,hydrogen-storage-technology-ablnocorp,"Hydrogen storage material, and its manufacturing method","PROBLEM TO BE SOLVED: To provide a hydrogen storage material comprising a porous substrate and a hydrogen storage material, having excellent hydrogen storage characteristics and capable of being easily formed.   SOLUTION: A hydrogen storage material comprising a porous base material and a hydrogen storage material, the carbon material having a powdery graphite structure as a main component on a porous base material having a solid skeleton 9 having a network structure It is preferable that the hydrogen storage material 5 has a structure in which the hydrogen storage material 5 is dispersed, and the porous substrate is preferably a porous body made of a dry gel of an inorganic oxide having a network structure skeleton. The material is preferably oriented graphite and has a structure having a space inside.   [Selection] Figure 1",positive,in_domain
