family_id,expansion_level,title,abstract,text,label
23817316,ANTISEED-AF,Intermittent temple thread cutter,,Intermittent temple thread cutter,0
47993977,ANTISEED-manual,Web application exploit mitigation in an information technology environment,"Methods, systems, and computer program products are provided herein for facilitating security in an information technology environment. Web application security vulnerabilities are discovered and addressed by means of virtual patches deployed to components of the information technology environment. An intelligent feedback loop is created to fill the void in the security of the web application when implemented in the specific information technology environment, thereby providing end-to-end security application management through dynamic, pre-emptive, and proactive security awareness and protection in the information technology environment. As new web application security vulnerabilities are discovered, the vulnerability is diagnosed and resolved to preemptively prevent exploitation of the security vulnerability.","Web application exploit mitigation in an information technology environment Methods, systems, and computer program products are provided herein for facilitating security in an information technology environment. Web application security vulnerabilities are discovered and addressed by means of virtual patches deployed to components of the information technology environment. An intelligent feedback loop is created to fill the void in the security of the web application when implemented in the specific information technology environment, thereby providing end-to-end security application management through dynamic, pre-emptive, and proactive security awareness and protection in the information technology environment. As new web application security vulnerabilities are discovered, the vulnerability is diagnosed and resolved to preemptively prevent exploitation of the security vulnerability.",0
22454583,ANTISEED-AF,Process independent design for gate array devices,A unique gate array cell and ASIC library development methodology is taught which require no new simulations or new place and route to port a given device design to a same generation process technologies which are available from different vendors. This methodology make use of the minimum design rules from different vendors without reroute of the physical database. This methodology equalizes the functionality and timing characteristics of the macrocell library on a plurality of alternate sources.,Process independent design for gate array devices A unique gate array cell and ASIC library development methodology is taught which require no new simulations or new place and route to port a given device design to a same generation process technologies which are available from different vendors. This methodology make use of the minimum design rules from different vendors without reroute of the physical database. This methodology equalizes the functionality and timing characteristics of the macrocell library on a plurality of alternate sources.,0
73155311,SEED,Internet of things inter-network device communication method and system and edge node,"The disclosure provides a method, a system and an edge node for inter-network cooperation of the Internet of things, wherein the method comprises the following steps: receiving an access request message which is sent by first equipment in a first Internet of things and carries a target equipment identifier; receiving a data processing request message sent by the first device, wherein the data processing request message is sent after the first device accesses the first internet of things through the first edge node; broadcasting the data processing request message in a blockchain; receiving a data processing response message broadcasted in the blockchain by a second edge node in a second networking; and acquiring data in the data processing response message, and sending the data to the first equipment. The method has the advantages that the communication capacity of the internet-of-things equipment is effectively improved, the running and maintenance cost of cooperation among the internet-of-things systems caused by the increasing access of the internet-of-things equipment is reduced, and the safe, credible and stable running of the internet-of-things is guaranteed.","Internet of things inter-network device communication method and system and edge node The disclosure provides a method, a system and an edge node for inter-network cooperation of the Internet of things, wherein the method comprises the following steps: receiving an access request message which is sent by first equipment in a first Internet of things and carries a target equipment identifier; receiving a data processing request message sent by the first device, wherein the data processing request message is sent after the first device accesses the first internet of things through the first edge node; broadcasting the data processing request message in a blockchain; receiving a data processing response message broadcasted in the blockchain by a second edge node in a second networking; and acquiring data in the data processing response message, and sending the data to the first equipment. The method has the advantages that the communication capacity of the internet-of-things equipment is effectively improved, the running and maintenance cost of cooperation among the internet-of-things systems caused by the increasing access of the internet-of-things equipment is reduced, and the safe, credible and stable running of the internet-of-things is guaranteed.",1
67413991,ANTISEED-manual,A kind of SNAT system and method based on FPGA,"The present invention provides a kind of SNAT system and method based on FPGA, including RAM block unit, A port unit, B port unit and Intranet interface unit, outer network interface unit；RAM block unit carries out SNAT conversion and SNAT link tracking for joint A port unit；A port unit receives the IP data packet of Intranet interface unit or the transmission of outer network interface unit for FPGA, and SNAT conversion and SNAT link tracking are carried out in such a way that RAM block unit hashes circulation searching using HASH；B port unit is used to carry out the periodic maintenance of SNAT list item in RAM block unit；Intranet interface unit and outer network interface unit are for receiving IP data packet.The present invention is by the internal resource RAM block unit in design FPGA, and parallel using 8 RAM blocks, reduction is because of the probability wasted without hashing to, so that RAM resource is preferably utilized, the larger performance for having played FPGA.","A kind of SNAT system and method based on FPGA The present invention provides a kind of SNAT system and method based on FPGA, including RAM block unit, A port unit, B port unit and Intranet interface unit, outer network interface unit；RAM block unit carries out SNAT conversion and SNAT link tracking for joint A port unit；A port unit receives the IP data packet of Intranet interface unit or the transmission of outer network interface unit for FPGA, and SNAT conversion and SNAT link tracking are carried out in such a way that RAM block unit hashes circulation searching using HASH；B port unit is used to carry out the periodic maintenance of SNAT list item in RAM block unit；Intranet interface unit and outer network interface unit are for receiving IP data packet.The present invention is by the internal resource RAM block unit in design FPGA, and parallel using 8 RAM blocks, reduction is because of the probability wasted without hashing to, so that RAM resource is preferably utilized, the larger performance for having played FPGA.",0
64659362,SEED,Blockchain network interaction controller,,Blockchain network interaction controller,1
68729309,SEED,Exchange portal and operating method thereof,"A method of driving an exchange portal is disclosed. According to the present invention, the method comprises the steps of: receiving cryptocurrency holding information from each of at least one cryptocurrency exchange system; providing the cryptocurrency holding information to a specific terminal connected to a specific user account and providing an interface to enable a direct transaction between the specific terminal and a specific exchange; receiving transaction history information from the specific terminal when the direct transaction between the specific terminal and the specific exchange is performed; and storing the transaction history information by blockchaining. Accordingly, transaction efficiency and transaction security can be increased.","Exchange portal and operating method thereof A method of driving an exchange portal is disclosed. According to the present invention, the method comprises the steps of: receiving cryptocurrency holding information from each of at least one cryptocurrency exchange system; providing the cryptocurrency holding information to a specific terminal connected to a specific user account and providing an interface to enable a direct transaction between the specific terminal and a specific exchange; receiving transaction history information from the specific terminal when the direct transaction between the specific terminal and the specific exchange is performed; and storing the transaction history information by blockchaining. Accordingly, transaction efficiency and transaction security can be increased.",1
71838660,SEED,Symmetric encryption for private smart contracts among multiple parties in a private peer-to-peer network,"Features for providing a secure method of symmetric encryption for private smart contacts among multiple parties in a private peer-to-peer network. The features include a master key representing a unique blockchain ledger. The master key may be shared among multiple participants in a private peer-to-peer network. Sharing of the master key may include communicating the master key in an encrypted message (e.g., email) using public key infrastructure (PKI). In some implementations, more complex distribution features may be includes such as quantum entanglement. The features support instantiation of a smart contract using a specific master key. The request may be submitted as an entry to the ledger with appropriate metadata and/or payload information for identifying and processing the request.","Symmetric encryption for private smart contracts among multiple parties in a private peer-to-peer network Features for providing a secure method of symmetric encryption for private smart contacts among multiple parties in a private peer-to-peer network. The features include a master key representing a unique blockchain ledger. The master key may be shared among multiple participants in a private peer-to-peer network. Sharing of the master key may include communicating the master key in an encrypted message (e.g., email) using public key infrastructure (PKI). In some implementations, more complex distribution features may be includes such as quantum entanglement. The features support instantiation of a smart contract using a specific master key. The request may be submitted as an entry to the ledger with appropriate metadata and/or payload information for identifying and processing the request.",1
52230812,ANTISEED-manual,User identity authentication method and system for discovery service,"The invention relates to a user identity authentication method and system for discovery service. A plurality of user identity authentication servers form a DHT network, and the identification of each server is obtained through a public key for calculating the owner of the server and the Hash value of a random number provided by the public key; each user identity authentication server performs authentication on the identity of a user on the basis of PKI, if the identity authentication passes, a bill packaged in the SAML format is generated, then the bill is divided into a plurality of small data fragments, and the small data fragments are stored; a DS server receives an inquiry quest of the user, the storage positions of the corresponding data fragments are worked out, an original bill is restored, then authentication on the identity of the user is performed according to the restored bill, and after the identity authentication passes, the server address of enterprise information relevant to the RFID identification of an inquired article is fed back. Due to the adoption of the user identity authentication method and system for discovery service, the user can have access to a DS many times in a period of time when authentication on the identity of the user is only performed one time, the procedures for the user to have access to the DS can be simplified, and the resource consumption of the user can be reduced.","User identity authentication method and system for discovery service The invention relates to a user identity authentication method and system for discovery service. A plurality of user identity authentication servers form a DHT network, and the identification of each server is obtained through a public key for calculating the owner of the server and the Hash value of a random number provided by the public key; each user identity authentication server performs authentication on the identity of a user on the basis of PKI, if the identity authentication passes, a bill packaged in the SAML format is generated, then the bill is divided into a plurality of small data fragments, and the small data fragments are stored; a DS server receives an inquiry quest of the user, the storage positions of the corresponding data fragments are worked out, an original bill is restored, then authentication on the identity of the user is performed according to the restored bill, and after the identity authentication passes, the server address of enterprise information relevant to the RFID identification of an inquired article is fed back. Due to the adoption of the user identity authentication method and system for discovery service, the user can have access to a DS many times in a period of time when authentication on the identity of the user is only performed one time, the procedures for the user to have access to the DS can be simplified, and the resource consumption of the user can be reduced.",0
70326990,SEED,Systems and Methods for Charitable Giving Using Blockchain Cryptocurrency,"Systems and methods for storing and managing blockchain transactions may include receiving a transaction request on a distributed ledger transaction machine that is part of a distributed ledger network including distributed ledger transaction machines, each storing an identical copy of a blockchain. The method may include extracting percentage allocations for each transaction in the transaction request as well as a set of identifying information indicating a charitable owner for at least one of the transactions. The method may further include recording a first transaction in a block on the distributed ledger transaction machine, which can be freely exchanged and transferred on the distributed ledger network and is unmarked, and a second transaction on the block on the distributed ledger transaction machine, including restricting the second transaction via a marking in the second transaction&#39;s data where the marking enables a centralized machine to control access and use of the second transaction.","Systems and Methods for Charitable Giving Using Blockchain Cryptocurrency Systems and methods for storing and managing blockchain transactions may include receiving a transaction request on a distributed ledger transaction machine that is part of a distributed ledger network including distributed ledger transaction machines, each storing an identical copy of a blockchain. The method may include extracting percentage allocations for each transaction in the transaction request as well as a set of identifying information indicating a charitable owner for at least one of the transactions. The method may further include recording a first transaction in a block on the distributed ledger transaction machine, which can be freely exchanged and transferred on the distributed ledger network and is unmarked, and a second transaction on the block on the distributed ledger transaction machine, including restricting the second transaction via a marking in the second transaction&#39;s data where the marking enables a centralized machine to control access and use of the second transaction.",1
