rank,score,record_id,patent_id,domain,title,abstract,candidate_type,source
1,0.9,70330818,70330818,blockchain-and-distributed-ledger-technology-e3,Method and system for transferring data in a blockchain system,"Embodiments of the present disclosure provide a method and system for transferring data in a blockchain system. The method may include: encrypting, by a first network node in the blockchain system, data into a first blockchain message using a first public key; providing, by the first network node, the first blockchain message to a blockchain; establishing, by the first network node, a computer protocol as an intelligent contract for the data transfer; receiving, by the first network node, a request from a second network node in the blockchain system to obtain the first blockchain message; encrypting, by the first network node, the data in the first blockchain message into a second blockchain message using a second public key according to the request.",positive,in_domain
2,0.9,71838660,71838660,blockchain-and-distributed-ledger-technology-e3,Symmetric encryption for private smart contracts among multiple parties in a private peer-to-peer network,"Features for providing a secure method of symmetric encryption for private smart contacts among multiple parties in a private peer-to-peer network. The features include a master key representing a unique blockchain ledger. The master key may be shared among multiple participants in a private peer-to-peer network. Sharing of the master key may include communicating the master key in an encrypted message (e.g., email) using public key infrastructure (PKI). In some implementations, more complex distribution features may be includes such as quantum entanglement. The features support instantiation of a smart contract using a specific master key. The request may be submitted as an entry to the ledger with appropriate metadata and/or payload information for identifying and processing the request.",positive,in_domain
3,0.9,70326990,70326990,blockchain-and-distributed-ledger-technology-e3,Systems and Methods for Charitable Giving Using Blockchain Cryptocurrency,"Systems and methods for storing and managing blockchain transactions may include receiving a transaction request on a distributed ledger transaction machine that is part of a distributed ledger network including distributed ledger transaction machines, each storing an identical copy of a blockchain. The method may include extracting percentage allocations for each transaction in the transaction request as well as a set of identifying information indicating a charitable owner for at least one of the transactions. The method may further include recording a first transaction in a block on the distributed ledger transaction machine, which can be freely exchanged and transferred on the distributed ledger network and is unmarked, and a second transaction on the block on the distributed ledger transaction machine, including restricting the second transaction via a marking in the second transaction&#39;s data where the marking enables a centralized machine to control access and use of the second transaction.",positive,in_domain
4,0.9,69883518,69883518,blockchain-and-distributed-ledger-technology-e3,Privileged entity consensus for digital asset creation,"Embodiments of the present invention provide techniques for generating digital tokens corresponding to determined generated real-world assets in a consensus-based authorization framework. In various embodiments, a client device coupled to a real-world asset generating device can determine that a real-world asset has been generated, and based on the determination, generate a request transaction for a digital token corresponding to the determined generated real-world asset. The request can be stored on a distributed ledger so that privileged entities can determine that the request is pending approval. Privileged client devices associated with the privileged entities can then generate approval transactions for generating the digital token corresponding to the determined generated real-world asset. A smart contract stored on the blockchain can determine that each of the privileged entities have authorized the generation of the digital token so that the smart contract can generate the new token, and issue the token to the client device or a public key associated with the client device.",positive,in_domain
5,0.9,73155311,73155311,blockchain-and-distributed-ledger-technology-e3,Internet of things inter-network device communication method and system and edge node,"The disclosure provides a method, a system and an edge node for inter-network cooperation of the Internet of things, wherein the method comprises the following steps: receiving an access request message which is sent by first equipment in a first Internet of things and carries a target equipment identifier; receiving a data processing request message sent by the first device, wherein the data processing request message is sent after the first device accesses the first internet of things through the first edge node; broadcasting the data processing request message in a blockchain; receiving a data processing response message broadcasted in the blockchain by a second edge node in a second networking; and acquiring data in the data processing response message, and sending the data to the first equipment. The method has the advantages that the communication capacity of the internet-of-things equipment is effectively improved, the running and maintenance cost of cooperation among the internet-of-things systems caused by the increasing access of the internet-of-things equipment is reduced, and the safe, credible and stable running of the internet-of-things is guaranteed.",positive,in_domain
6,0.9,57325472,57325472,blockchain-and-distributed-ledger-technology-e3,"Device, method and system for virtual asset transactions","A method and system for digital currency transactions and, more specifically, a method and system for cryptocurrency transactions across ledgers or blockchains.",positive,in_domain
7,0.9,69639098,69639098,blockchain-and-distributed-ledger-technology-e3,Secure smart note,"An example operation may include one or more of conecting, by a smart note, to a blockchain configured to store an asset of a user on a ledger, acquiring, by a smart note, a value of the asset from the ledger, displaying, by a smart note, the value on a display screen located on the smart note in response to a detection of a smart note button press event, generating, by a smart note, an asset address key pair, checking, by a smart note, a status of a private key associated with the smart note, and displaying, by a smart note, a trusted symbol next to the value on the display screen, if the status of the private key indicates that the private key has never been used.",positive,in_domain
8,0.9,70327037,70327037,blockchain-and-distributed-ledger-technology-e3,Asset management in asset-based blockchain system,"Techniques for improved asset management in an asset-based distributed ledger such as a blockchain system are disclosed. In one method, an asset balance structure is obtained, wherein the asset balance structure specifies asset balances, as of a given point in time, for a set of blockchain addresses associated with a blockchain system comprising blocks that reflect transactions associated with the assets. One or more transactions associated with the assets for any of the set of blockchain addresses that occur after generation of the asset balance structure are obtained. The one or more transactions associated with the assets that occur after generation of the asset balance structure are applied to the asset balance structure to generate an updated indication of the asset balances for the set of blockchain addresses. Advantageously, a given asset wallet stores the asset balance structure rather than the entire set of blocks of the blockchain system.",positive,in_domain
9,0.9,66992467,66992467,blockchain-and-distributed-ledger-technology-e3,Methods and systems for the distribution of goods,"A method and system for the distribution of goods, including: receiving a signal indicating completion of a payment to a holding account, the amount of the payment corresponding to an amount of tax payable for goods sold by a seller; adding a block to a blockchain, the block containing information identifying at least the amount of tax payable; determining when a later block, indicating that the goods sold by the seller are released for delivery in a destination taxing jurisdiction having a taxing authority, has been added to the blockchain; and upon determining that the later block has been added to the blockchain: querying the blockchain to determine the amount of tax payable; and instructing a transaction processor to transfer funds corresponding to the amount of tax payable from the holding account to an account associated with the taxing authority.",positive,in_domain
10,0.9,57671036,57671036,blockchain-and-distributed-ledger-technology-e3,Power consumption perception pow consensus mechanism for block chain,"A power consumption perception PoW consensus mechanism for a block chain, comprising the following process steps: (1) in a Bitcoin system, all nodes compete with each other on the basis of respective computer computing power to jointly solve an SHA math problem that is complex to solve but easy to verify, and a node which solves the problem at the fastest speed obtains a block accounting right and Bitcoin award automatically generated by the system; (2) interconnecting physical servers located at different geographical locations by using a WDM mesh network to form a block chain infrastructure network, generating power consumption in response to a block chain request, integrating block chain nodes on light load servers to fewer physical servers, directing communication requirements to fewer links, and turning off unnecessary servers and nodes. By using the power consumption perception PoW consensus mechanism, resource potential of the infrastructure network can be further exploited while the performance of the block chain is improved; in addition, power consumption can be perceived, so as to reduce carbon emission and greenhouse effect.",positive,in_domain
11,0.9,68068553,68068553,blockchain-and-distributed-ledger-technology-e3,System and Method for Transaction of Block Chain Based Cryptocurrency,"The present invention relates to a blockchain-based cryptocurrency trading system and trading method, and more particularly to a trading system and a trading method in cryptocurrency trading through a cryptocurrency exchange.   The blockchain-based cryptocurrency trading system according to the present invention provides a price information management unit that manages exchange rate information between the first reference cryptocurrency and the second reference cryptocurrency, and the transaction between the first reference cryptocurrency and the second reference cryptocurrency. It includes a cryptocurrency trading unit that performs or manages. In this case, the first reference cryptocurrency is a blockchain-based cryptocurrency in which the exchange rate with the first real currency is fixed, and the second reference cryptocurrency has a fixed exchange rate with the second real currency different from the first real currency. It is a blockchain-based cryptocurrency.",positive,in_domain
12,0.9,60217180,60217180,blockchain-and-distributed-ledger-technology-e3,Computer webpage method of payment based on block chain technology,"A kind of computer webpage method of payment based on block chain technology, including：Sequence information is sent to the form ordering system of trade company by computer webpage, and generation pays request；Trade company&#39;s form ordering system generation computer webpage pays requests for page and returns to user computer webpage；User computer webpage jumps to payment requests for page, and will pay any one node for asking to be submitted on block chain；Block chain recorded the payment request by checking on block chain；The payment request that prophet&#39;s system is listened on block chain node, and validation of payment is asked；If be proved to be successful, the generation of prophet&#39;s system pays the payment response of jump page comprising channel of disbursement computer webpage, and returns to user computer webpage by block chain by response is paid；After transaction verification success, payment result is recorded on block chain；Channel of disbursement settles accounts transaction funds the settlement accounts to trade company, and checkout result is bundled on block chain by prophet&#39;s system.The present invention is beneficial to implement accurate, timely and more various dimensions supervision.",positive,in_domain
13,0.9,68536901,68536901,blockchain-and-distributed-ledger-technology-e3,Methods and systems for retrieving zero-knowledge proof-cloaked data on distributed ledger-based networks,"One or more embodiments described herein disclose methods and systems that are directed at facilitating access to and retrieval of data concealed on a distributed ledger-based network (DLN) with the use of zero-knowledge proof (ZKP) techniques. The methods and systems allow for the encryption, using an encryption key, of data related to a transaction between participants of the DLN, the encryption of the encryption key using a public key of an auditor of the transaction, and the generation of a ZKP that the encryption key used to encrypt the data corresponds to the encryption key encrypted using the public key such that the encrypted encryption key and/or the encrypted data are available to the auditor after the ZKP is verified by a self-executing code segment of the DLN. The ZKP also includes a proof that the encrypted data includes the transaction data.",positive,in_domain
14,0.9,69942008,69942008,blockchain-and-distributed-ledger-technology-e3,Medical record sharing system and implementing method thereof,"Medical record sharing system and implementing method thereof are disclosed, and the system connects to a blockchain network, wherein the system mainly comprises multiple retrieving terminal devices and a medical data center server, wherein the retrieving terminal devices can respectively establish and publish an electronic medical record (EMR) to 
the blockchain network and also store in the medical data center server. After that, the medical data center server will transmit a piece of encryption key information corresponding to each retrieving terminal device, and when one of the retrieving terminal devices requests to fetch the EMR from the medical data center server, the medical data center server will verify the identity of the retrieving terminal device who wants to fetch the EMR. If there is a match to the encryption key information, the identity of the retrieving terminal device is considered valid, and after that the retrieving terminal device can retrieve the EMR thereof from the medical data center server.",positive,in_domain
15,0.9,64488606,64488606,blockchain-and-distributed-ledger-technology-e3,Blockchain-based set exchange method and apparatus for available resource quotas,"Disclosed are a blockchain-based set exchange method and apparatus for available resource quotas. A blockchain network comprises a management node and object nodes, wherein each object node performs copyright use transactions by taking virtual resources issued by the management node as transaction media. One object node may serve as a user party to provide the virtual resources in some copyright use events, or may serve as a creation party to receive the virtual resources in some copyright use events. For any object node set, when the object node set is selected as a target object by the management node, each object node in the object node set is capable of acquiring certain available resource quotas for determining earning increments corresponding to the object node itself. In addition, the available resource quotas distributed to one object node need to be exchanged by using the virtual resources possessed by the object node.",positive,in_domain
16,0.9,60267547,60267547,blockchain-and-distributed-ledger-technology-e3,Application framework using blockchain-based asset ownership,"INTERNATIONAL APPLICATION PUBLISHED UNDER THE PATENT COOPERATION TREATY (PCT) (19) World Intellectual Property C.--.` 11111111111111111111111111111111111111111111111111111111111111111111 Organization International Bureau (10) International Publication Number 03 (43) International Publication Date .....•\&#34;\&#34;- WO 2017/197110 Al 16 November 2017 (16.11.2017) WIPO I PCT (51) International Patent Classification: (72) Inventors: DEMARINIS, Richard; c/o Nasdaq Inc. OGC/ G06F 17/30 (2006.01) GO6Q 20/36 (2012.01) IPR Department, 805 King Farm Boulevard, Rockville, G06F 21/62 (2013.01) G06Q 20/38 (2012.01) MD 20850 (US). UUSTALU, Hedi; c/o Nasdaq Inc. OGC/ G06Q 20/06 (2012.01) G06Q 20/40 (2012.01) IPR Department, 805 King Farm Boulevard, Rockville, (21) International Application Number: MD 20850 (US). FAY, Thomas; c/o Nasdaq Inc. OGC/ PCT/US2017/032155 IPR Department, 805 King Farm Boulevard, Rockville, MD 20850 (US). PANISCOTTI, Dominick; c/o Nasdaq (22) International Filing Date: Inc. OGC/IPR Department, 805 King Farm Boulevard, 11 May 2017 (11.05.2017) Rockville, MD 20850 (US). PARVITS, Triin; c/o Nas- daq Inc. OGC/IPR Department, 805 King Farm Boulevard, (25) Filing Language: English Rockville, MD 20850 (US). RAJKUMAR, Rachana; c/o (26) Publication Language: English Nasdaq Inc. OGC/IPR Department, 805 King Farm Boule- (30) Priority Data: vard, Rockville, MD 20850 (US). TONG, Junning; c/o Nasdaq Inc. OGC/IPR Department, 805 King Farm Boule- 62/334,764 11 May 2016 (11.05.2016) US yard, Rockville, MD 20850 (US). (71) Applicant: NASDAQ, INC. [US/US]; One Liberty Plaza, (74) Agent: WEERAKOON, Ishan, P.; Nixon &amp; Vanderhye 165 Broadway, New York, NY 10006 (US). P.C., 901 North Glebe Road, 11th Floor, Arlington, VA 22203-1808 (US). (54) Title: APPLICATION FRAMEWORK USING BLOCKCHAIN-BASED ASSET OWNERSHIP Server Computer System 130 100 (&#39;----- ---. Fig. 1 • - . - . _.-- —--, 134 -- Wallet 126 ---- Web Applicahon(s) using immutable Memory - v ;;=,7,tory • -.. , \. / Server 135 ownership ledger 108 102&#39;\/ ... ..... 132 Database , /----- \&#34;--- ,---) 128-x\ _.---) ,------ --&#39;, \ 136 - &#39;1 1381 . Asset \. --/ Admin Interface User Interface Information Memory Authentication Information ‘,.....___ , Memory___ ., \,... 110 -- 104 Admin 137 106 Device 112&#39;1 User 139 Network Device Blockchain 114 - - A Immutable asset User Device o7 . 71:1:7 1er 140 11 (57) : Systems and methods are provided for recording ownership information in a distributed ledger (such as a blockchain), Il , 1 and for performing application processing utilizing the distributed ledger. An example server computer system is configured to: record N on a blockchain ownership information of an asset; to configure, for each owner of the asset, a digital wallet associated with a private C:N cryptographic key and at least one blockchain address; using a blockchain address from a digital wallet to access ownership information Il ---- in the blockchain; perform application processing using the accessed ownership information; and record in the blockchain, updated I N ownership information or other information associated with the ownership information in accordance with the performed application Il © processing. N O [Continued on next page] WO 2017/197110 Al MIDEDIMOMOIDEIROIDEMOMOIROM1010110MEMOIMIE (81) Designated States (unless otherwise indicated, for every kind of national protection available): AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, MA, MD, ME, MG, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, SM, ST, SV, SY, TH, TJ, TM, TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, ZA, ZM, ZW. (84) Designated States (unless otherwise indicated, for every kind of regional protection available): ARIPO (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW), Eurasian (AM, AZ, BY, KG, KZ, RU, TJ, TM), European (AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR), OAPI (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG). Published: — with international search report (Art. 21(3))",positive,in_domain
17,0.9,66066815,66066815,blockchain-and-distributed-ledger-technology-e3,"Method, device and system for executing blockchain transactions in parallel","Disclosed are a method, device and system for executing blockchain transactions in parallel. According to an embodiment provided in the specification, if each of transactions in a block to be written is not a transaction for updating information stored in more than one storage address, each node in a blockchain network can organize the respective transactions in the block into at least two transaction queues, and simultaneously execute the transactions in each transaction queue.",positive,in_domain
18,0.9,71602213,71602213,blockchain-and-distributed-ledger-technology-e3,An operation support system for donation based on block chain,"The present invention relates to a blockchain-based donation operation support system, and more specifically, provides information about various donation foundations to donors who want to make a donation between the donor and the donation foundation that operates the donation, and at the same time, donation from the donor The donated money is converted into tokens on the blockchain network through a designated financial institution and transferred to the donation foundation, and the donation foundation distributes the tokens thus delivered to each beneficiary or beneficiary company, and the beneficiary or beneficiary company that received the token By establishing a donation operation support system that is operated to convert and use the tokens received at the time of use of the donations into cash at the designated financial institution, the donation history and donation foundation of the donor on the blockchain network in which token-type donations are distributed It is related to a blockchain-based donation operation support system that can clearly check the overall flow of donations at any time by transparently recording the donation usage history.",positive,in_domain
19,0.9,57589049,57589049,blockchain-and-distributed-ledger-technology-e3,How to manage trusted identities,The present invention is a method for developing a trusted identity of a user issued by an issuer. The user has a user device configured to send a signature request to an issuer device operated by the issuer. The request includes a user public key assigned to the user. The issuer device is configured to calculate an issuer signature by signing both the user&#39;s trusted identity and the user public key using the issuer private key assigned to the issuer. A blockchain transaction including the issuer signature is created and submitted to the blockchain that validates and stores the transaction. [Selection] Figure 1,positive,in_domain
20,0.9,64277938,64277938,blockchain-and-distributed-ledger-technology-e3,Implementation of continuous real-time validation of distributed data storage systems,"Provided herein is a system and method for implementing a real-time and continuous validation tool for a distributed ledger-based computing system (i.e., blockchain). In one or more examples a. real-time validation tool and system can continuously monitor a blockchain computing system for activities that indicate abnormal or risky behavior, and can generate a report to a user that details those events. The real-time validation tool can be implemented as a node in a blockchain computing system and can use information gleaned from blockchain activity occurring in real-time as well as external data gathered from various sources to determine if one or more events has occurred that is indicative of abnormal or risky activity occurring within the blockchain computing system. The validation tool can be used to improve and secure an existing blockchain computing system against cyber intrusions and various integrity issues.",positive,in_domain
21,0.9,73456960,73456960,blockchain-and-distributed-ledger-technology-e3,Blockchain enabled service request system,"Systems and methods for establishing and fulfilling a smart contract between users and service providers are disclosed. A method includes creating, by one or more nodes in a computer network, a smart contract in response to a request from a user for services and providing the smart contract to a blockchain. The method then includes notifying service providers of the smart contract and receiving responses to the notifications from the service providers. Then the method includes identifying one or more service providers that can complete the service. The method then includes updating the smart contract to include data about the identified service providers. The updated smart contract includes account information for a user account of the user, and account information for service provider accounts of the identified service providers. Then a value interaction is initiated that pushes value from the user account to the service provider accounts.",positive,in_domain
22,0.9,68534522,68534522,blockchain-and-distributed-ledger-technology-e3,Private Cryptocoinage in Blockchain Environments,"Cryptocoinage is established in a blockchain environment. Any entity (whether public or private) may issue its own cryptocoinage for public recordation to a blockchain data layer. The blockchain data layer generates data records representing transaction records of the cryptocoinage. The blockchain data layer may also hash the transaction records to generate a cryptographic proof for public disclosure via a public blockchain. Moreover, the cryptographic proof may be anchored to another public blockchain representing a different cryptocoinage (such as BITCOIN®). The blockchain data layer may be searched for the data records representing the transaction records of the cryptocoinage.",positive,in_domain
23,0.9,69052218,69052218,blockchain-and-distributed-ledger-technology-e3,Mobile communication service based on block chain,"The present invention relates to a blockchain based mobile communication service which comprises: a service management unit which records, in real time, a usage history of a mobile communication service used by a client subscribed to the mobile communication service on a blockchain ledger; and an affiliate service management unit which provides a mobile communication affiliate service provided from an affiliated company subscribed to the service to the client, and records a mobile communication affiliate service usage history on the blockchain ledger in real time. According to the present invention, information security is ensured.",positive,in_domain
24,0.85,70497233,70497233,blockchain-and-distributed-ledger-technology-e3,Data interaction system based on block chain technology,"The invention relates to an internal data interaction system based on a blockchain technology, which comprises a blockchain network and a data interaction platform established based on the blockchain network, wherein the platform at least comprises a first terminal wallet and at least one second terminal wallet; the functionality of the first terminal wallet is configured to: generating and storing a first pass certificate, and distributing the first pass certificate to a second terminal wallet according to a preset rule; the functionality of the second terminal wallet is configured to: receiving a first pass certificate distributed by the first terminal wallet according to a preset rule, and generating and storing the first pass certificate; when data interaction is carried out in the data interaction platform, the first terminal wallet can acquire the first certificate transferred by the second terminal wallet in a converted form, and the first certificate in the first terminal wallet cannot be transferred to the second terminal wallet in a converted form. The system can be suitable for multiple dimensions in the data interaction process in an enterprise, and meets the requirements of all data interaction of the enterprise.",positive,in_domain
