family_id,expansion_level,title,abstract,text,label
39242767,ANTISEED-AF,"Cooling device, electronic device and cooling medium","Cooling performance is improved by using a cooling medium in which a liquid and a solid having high thermal conductivity are mixed.   Since a cooling medium 1 in which a liquid 2a is mixed with a solid 2 having higher thermal conductivity and water repellency or oil repellency than the liquid 1a is formed, dispersibility between the solids 2 is improved. The Therefore, the condensation of the solids 2 in the liquid 1a is hindered, and therefore, the sedimentation of the condensed solid 2 in the liquid 1a is hindered. Therefore, the stirring ability of the liquid 1a and the solid 2 is increased, and the cooling performance can be improved.   [Selection] Figure 1","Cooling device, electronic device and cooling medium Cooling performance is improved by using a cooling medium in which a liquid and a solid having high thermal conductivity are mixed. Since a cooling medium 1 in which a liquid 2a is mixed with a solid 2 having higher thermal conductivity and water repellency or oil repellency than the liquid 1a is formed, dispersibility between the solids 2 is improved. The Therefore, the condensation of the solids 2 in the liquid 1a is hindered, and therefore, the sedimentation of the condensed solid 2 in the liquid 1a is hindered. Therefore, the stirring ability of the liquid 1a and the solid 2 is increased, and the cooling performance can be improved. [Selection] Figure 1",0
62586700,ANTISEED-manual,A kind of electric energy and natural gas competitiveness integrated evaluating method that planning guidance is substituted available for electric energy,"A kind of electric energy and natural gas competitiveness integrated evaluating method that planning guidance is substituted available for electric energy, it is characterised in that include the following steps：First according to the application characteristic of electric energy and natural gas in different technologies field, from economy, technology, three levels of environment establish competitive power appraisal target system, and weight assignment is carried out to each index using analytic hierarchy process (AHP), and five competitiveness evalua- tion grades are divided, the competitiveness fuzzy membership relational matrix of each index is calculated for quantitative target and qualitative index respectively, it finally combines index weights and electric energy is calculated in subordinated-degree matrix respectively, the synthesized competitiveness evaluation points of natural gas, the competitiveness comparison result of electric energy and natural gas can intuitively be obtained by the numerical values recited of evaluation points, the accuracy that overall merit is carried out to electric energy and natural gas competitiveness is high, it can substitute project planning for power grid enterprises and user&#39;s development electric energy and invest and useful guidance is provided.","A kind of electric energy and natural gas competitiveness integrated evaluating method that planning guidance is substituted available for electric energy A kind of electric energy and natural gas competitiveness integrated evaluating method that planning guidance is substituted available for electric energy, it is characterised in that include the following steps：First according to the application characteristic of electric energy and natural gas in different technologies field, from economy, technology, three levels of environment establish competitive power appraisal target system, and weight assignment is carried out to each index using analytic hierarchy process (AHP), and five competitiveness evalua- tion grades are divided, the competitiveness fuzzy membership relational matrix of each index is calculated for quantitative target and qualitative index respectively, it finally combines index weights and electric energy is calculated in subordinated-degree matrix respectively, the synthesized competitiveness evaluation points of natural gas, the competitiveness comparison result of electric energy and natural gas can intuitively be obtained by the numerical values recited of evaluation points, the accuracy that overall merit is carried out to electric energy and natural gas competitiveness is high, it can substitute project planning for power grid enterprises and user&#39;s development electric energy and invest and useful guidance is provided.",0
18341326,ANTISEED-AF,Exhaust valve for marine engine,"PURPOSE: To work a metal of heat resistance and oxidation resistance at relatively low temperature to make aging treatment and to contrive high hardness and long life integrating metal of different kinds with a main unit, thereafter performing solution treatment and warm forging further aging treatment.  
     CONSTITUTION: An exhaust valve is constituted by arranging a heat resistant steel material in a main unit and further metal of different kinds rich in wearing resistance and oxidation resistance at high temperature in a seat part. After the metal of different kinds is integrated with the main unit, solution treatment and warm forging are performed further to perform aging treatment. That is, as compared with that the conventional one is formed into a compound structure by finally padding a material of different kind welded, a maximum feature is provided in the point that warm finish forging following the solution treatment is applied after previously forming the compound structure. A composition of the metal of different kinds is left as adequately set, so that very high hardness can be obtained by aging treatment after finishing forging. 
     COPYRIGHT: (C)1992,JPO&amp;Japio","Exhaust valve for marine engine PURPOSE: To work a metal of heat resistance and oxidation resistance at relatively low temperature to make aging treatment and to contrive high hardness and long life integrating metal of different kinds with a main unit, thereafter performing solution treatment and warm forging further aging treatment. CONSTITUTION: An exhaust valve is constituted by arranging a heat resistant steel material in a main unit and further metal of different kinds rich in wearing resistance and oxidation resistance at high temperature in a seat part. After the metal of different kinds is integrated with the main unit, solution treatment and warm forging are performed further to perform aging treatment. That is, as compared with that the conventional one is formed into a compound structure by finally padding a material of different kind welded, a maximum feature is provided in the point that warm finish forging following the solution treatment is applied after previously forming the compound structure. A composition of the metal of different kinds is left as adequately set, so that very high hardness can be obtained by aging treatment after finishing forging. COPYRIGHT: (C)1992,JPO&amp;Japio",0
56978589,SEED,"Signal processing method, program, information processing device, and eyewear","In this signal processing method, a computer executes: an acquisition step of acquiring an ocular potential-related signal relating to an ocular potential detected using electrodes in contact with a region around the eye of a subject; a first calculation step of calculating an extreme value difference signal between an extreme value of the ocular potential-related signal and another extreme value prior to said extreme value; and a detection step of detecting a line-of-sight movement or an eyeblink on the basis of the extreme value difference signal.","Signal processing method, program, information processing device, and eyewear In this signal processing method, a computer executes: an acquisition step of acquiring an ocular potential-related signal relating to an ocular potential detected using electrodes in contact with a region around the eye of a subject; a first calculation step of calculating an extreme value difference signal between an extreme value of the ocular potential-related signal and another extreme value prior to said extreme value; and a detection step of detecting a line-of-sight movement or an eyeblink on the basis of the extreme value difference signal.",1
64329668,ANTISEED-manual,Method and apparatus for graph generation,"A graph generation method and apparatus are disclosed. The apparatus for generating graphs according to an exemplary embodiment recognizes any one of the plurality of vertices and determines a target of at least one trunk to be generated from the source vertex The number of trunk lines can be obtained. The graph generating device obtains a recursive vector that is used repeatedly to generate at least one trunk in a scope that requires confirmation of the existence of trunks for the source vertex, and based on the target truncation number and the recursive vector, And at least one truncation between at least one destination vertex.","Method and apparatus for graph generation A graph generation method and apparatus are disclosed. The apparatus for generating graphs according to an exemplary embodiment recognizes any one of the plurality of vertices and determines a target of at least one trunk to be generated from the source vertex The number of trunk lines can be obtained. The graph generating device obtains a recursive vector that is used repeatedly to generate at least one trunk in a scope that requires confirmation of the existence of trunks for the source vertex, and based on the target truncation number and the recursive vector, And at least one truncation between at least one destination vertex.",0
69541254,SEED,Method and device for explaining sports game,"The disclosure relates to a method and a device for explaining a sports game. The method comprises the following steps: carrying out character recognition on a video frame of a sports game video, and determining the name of an athlete in the video frame; performing posture recognition on the athlete and determining the action of the athlete; determining corresponding action description information of the athlete according to the action of the athlete; and generating the commentary content corresponding to the sports game video according to the name of the athlete and the action description information. The method and the device can improve the accuracy of the explanation content, avoid the condition of manual misstatement, greatly reduce the error rate and save manpower.","Method and device for explaining sports game The disclosure relates to a method and a device for explaining a sports game. The method comprises the following steps: carrying out character recognition on a video frame of a sports game video, and determining the name of an athlete in the video frame; performing posture recognition on the athlete and determining the action of the athlete; determining corresponding action description information of the athlete according to the action of the athlete; and generating the commentary content corresponding to the sports game video according to the name of the athlete and the action description information. The method and the device can improve the accuracy of the explanation content, avoid the condition of manual misstatement, greatly reduce the error rate and save manpower.",1
63016587,SEED,A method of air quality is estimated based on single image,"The invention discloses a kind of methods for estimating air quality based on single image, including：The arbitrary scene image for acquiring known air performance figure, establishes database and is expanded, and obtains the image data base that air quality grade is &#34; excellent &#34;, &#34; slight pollution &#34; and &#34; serious pollution &#34; three grades；Choose convolutional neural networks classical model --- atmospheric quality models of the Alexnet models as the present invention, and pre-training is carried out using Imagenet big datas, improve further feature otherness；After the completion of pre-training, the scene image library that the present invention acquires is substituted into air quality disaggregated model and is finely adjusted；After the completion of fine tuning, test training set image air quality disaggregated model is subjected to scene air quality classification；Present invention firstly provides air quality estimation is carried out using scene image information, this method is not necessarily to any measuring instrument and human assistance, and classification accuracy is higher, and has stronger real-time, and the development for the following air monitoring technology provides new approaches.","A method of air quality is estimated based on single image The invention discloses a kind of methods for estimating air quality based on single image, including：The arbitrary scene image for acquiring known air performance figure, establishes database and is expanded, and obtains the image data base that air quality grade is &#34; excellent &#34;, &#34; slight pollution &#34; and &#34; serious pollution &#34; three grades；Choose convolutional neural networks classical model --- atmospheric quality models of the Alexnet models as the present invention, and pre-training is carried out using Imagenet big datas, improve further feature otherness；After the completion of pre-training, the scene image library that the present invention acquires is substituted into air quality disaggregated model and is finely adjusted；After the completion of fine tuning, test training set image air quality disaggregated model is subjected to scene air quality classification；Present invention firstly provides air quality estimation is carried out using scene image information, this method is not necessarily to any measuring instrument and human assistance, and classification accuracy is higher, and has stronger real-time, and the development for the following air monitoring technology provides new approaches.",1
60064069,SEED,A kind of image depth estimation method and system,"The invention discloses a kind of image depth estimation method and system, the realization of wherein method includes：Estimation of Depth network is built, estimation of Depth network includes：Coded portion, convolution coupling part and decoded portion, the warp lamination of decoded portion are connected with last layer of convolutional layer in the yardstick identical convolution block of coded portion, form final warp lamination；The depth map of two consecutive images and wherein one image in selection sample image trains estimation of Depth network, the estimation of Depth network trained as training sample using training sample；Collecting test image, extracts the current frame image of test image and the previous frame image of current frame image；The estimation of Depth network that the Color Channel input of current frame image and previous frame image is trained, obtains the depth map of current frame image.The inventive method efficiency high, obtains depth map accuracy height, compactness strong.","A kind of image depth estimation method and system The invention discloses a kind of image depth estimation method and system, the realization of wherein method includes：Estimation of Depth network is built, estimation of Depth network includes：Coded portion, convolution coupling part and decoded portion, the warp lamination of decoded portion are connected with last layer of convolutional layer in the yardstick identical convolution block of coded portion, form final warp lamination；The depth map of two consecutive images and wherein one image in selection sample image trains estimation of Depth network, the estimation of Depth network trained as training sample using training sample；Collecting test image, extracts the current frame image of test image and the previous frame image of current frame image；The estimation of Depth network that the Color Channel input of current frame image and previous frame image is trained, obtains the depth map of current frame image.The inventive method efficiency high, obtains depth map accuracy height, compactness strong.",1
66633311,ANTISEED-manual,Method and a server for converting a categorical factor value into its numerical representation and for creating a separating value of a categorical factor,"FIELD: computer equipment.SUBSTANCE: invention relates to computer engineering. Disclosed is a method of converting into a numerical representation a categorical factor value which is associated with a training object for training machine learning algorithm (MLA), wherein MLA uses a decision tree model having a decision tree, wherein the training object is processed on a node of a given decision tree level, wherein the decision tree has at least one previous decision tree level, wherein at least one previous level value of at least one categorical factor is converted into its previous numerical representation for at least one previous level of decision tree, wherein machine learning algorithm is performed by electronic device for prediction of use phase object, method includes: obtaining access from a side of machine-readable carrier of machine learning system to a set of training objects, wherein each training object from a set of training objects comprises a document and an event indicator associated with the document, wherein each document is associated with a categorical factor; creating a numerical representation for a categorical factor value by extracting a previous numerical representation of at least one categorical factor value for the given object from the set of training entities on at least one previous decision tree level; creating, for each combination of at least one previous value of categorical factor on at least one previous level of decision tree and at least some values of categorical factors from set of training objects, current numerical representation for given level of decision tree, creation is carried out during creation of decision tree.EFFECT: forming a machine learning algorithm using a decision tree model and designed to classify objects having a categorical factor value which is converted to its numerical representation.42 cl, 14 dwg","Method and a server for converting a categorical factor value into its numerical representation and for creating a separating value of a categorical factor FIELD: computer equipment.SUBSTANCE: invention relates to computer engineering. Disclosed is a method of converting into a numerical representation a categorical factor value which is associated with a training object for training machine learning algorithm (MLA), wherein MLA uses a decision tree model having a decision tree, wherein the training object is processed on a node of a given decision tree level, wherein the decision tree has at least one previous decision tree level, wherein at least one previous level value of at least one categorical factor is converted into its previous numerical representation for at least one previous level of decision tree, wherein machine learning algorithm is performed by electronic device for prediction of use phase object, method includes: obtaining access from a side of machine-readable carrier of machine learning system to a set of training objects, wherein each training object from a set of training objects comprises a document and an event indicator associated with the document, wherein each document is associated with a categorical factor; creating a numerical representation for a categorical factor value by extracting a previous numerical representation of at least one categorical factor value for the given object from the set of training entities on at least one previous decision tree level; creating, for each combination of at least one previous value of categorical factor on at least one previous level of decision tree and at least some values of categorical factors from set of training objects, current numerical representation for given level of decision tree, creation is carried out during creation of decision tree.EFFECT: forming a machine learning algorithm using a decision tree model and designed to classify objects having a categorical factor value which is converted to its numerical representation.42 cl, 14 dwg",0
67859125,SEED,A kind of image processing method and device,"This application involves technical field of image processing, in particular to a kind of image processing method and device, to shorten the period that facial image is converted into cartoon image.The embodiment of the present application obtains at least one picture to be converted comprising human face region；Obtain the face image data for the human face region for including in picture to be converted；Cartoon image data are converted to by the face image data that the neural network trained will acquire respectively；Cartoon image is generated according to the cartoon image data obtained after conversion, and the human face region in picture to be converted is replaced with to the cartoon image of conversion.Quickly due to Processing with Neural Network speed, it can be realized and be quickly converted in such a way that facial image is converted to cartoon image by neural network, shorten the period that facial image is converted to cartoon image, improve the efficiency that facial image is converted to cartoon image.","A kind of image processing method and device This application involves technical field of image processing, in particular to a kind of image processing method and device, to shorten the period that facial image is converted into cartoon image.The embodiment of the present application obtains at least one picture to be converted comprising human face region；Obtain the face image data for the human face region for including in picture to be converted；Cartoon image data are converted to by the face image data that the neural network trained will acquire respectively；Cartoon image is generated according to the cartoon image data obtained after conversion, and the human face region in picture to be converted is replaced with to the cartoon image of conversion.Quickly due to Processing with Neural Network speed, it can be realized and be quickly converted in such a way that facial image is converted to cartoon image by neural network, shorten the period that facial image is converted to cartoon image, improve the efficiency that facial image is converted to cartoon image.",1
