train_patent_id,eval_family_id,eval_expansion_level,eval_label,abs_jaccard,title_jaccard,train_title
10547506,62489886,ANTISEED-manual,0,1.0,1.0,Determining identities for executing cloud processing and approvers of the execu
11405373,69718967,SEED,1,1.0,1.0,Blockchain-based secured multicast communications
11556923,73456960,SEED,1,1.0,1.0,Blockchain enabled service request system
12165139,73456960,SEED,1,1.0,0.8,Blockchain enabled service request
11295318,72141959,SEED,1,1.0,1.0,Systems and methods for provisioning cryptographic digital assets for blockchain
11756053,72141959,SEED,1,1.0,1.0,Systems and methods for provisioning cryptographic digital assets for blockchain
9258122,55235702,ANTISEED-manual,0,1.0,1.0,Systems and methods for securing data at third-party storage services
9009077,38895242,ANTISEED-manual,0,1.0,1.0,Over-the-air delivery of metering certificates and data
10504110,49448203,ANTISEED-manual,0,1.0,1.0,Application system for mobile payment and method for providing and using mobile 
10452863,63523693,ANTISEED-manual,0,1.0,1.0,Unified control of privacy-impacting devices
10579825,63523693,ANTISEED-manual,0,1.0,1.0,Unified control of privacy-impacting devices
11983722,54702270,ANTISEED-manual,0,1.0,1.0,Systems and methods for fraud liability shifting
11301843,73745573,SEED,1,1.0,1.0,System and method for blockchain based document processing
12323524,57996000,SEED,1,1.0,1.0,"Social aggregating, fractionally efficient transfer guidance, conditional trigge"
11216815,54702270,ANTISEED-manual,0,1.0,1.0,Systems and methods for fraud liability shifting
11636471,66815133,SEED,1,1.0,1.0,"Social data tracking datastructures, apparatuses, methods and systems"
11087323,69586381,SEED,1,1.0,1.0,Exposure based secure access system
11727391,58579234,SEED,1,1.0,1.0,Computer-implemented methods and systems for validating tokens for blockchain-ba
11386985,54480647,SEED,1,1.0,0.8,Healthcare transaction validation via blockchain systems and methods
12100491,54480647,SEED,1,1.0,0.7,"Transaction validation via blockchain, systems and methods"
12027244,54480647,SEED,1,1.0,0.8,Healthcare transaction validation via blockchain systems and methods
10204339,63761678,SEED,1,1.0,1.0,"Method and system for blockchain-based combined identity, ownership, integrity a"
