rank,score,record_id,patent_id,domain,title,abstract,candidate_type,source
1,0.85,14/590032,9463573,humanoid-robot-commercialization-technology,"Robot control system, robot system, and sensor information processing apparatus","A robot control system includes a force control unit configured to output a correction value of a target track of a robot on the basis of sensor information acquired from a force sensor, a target-value output unit configured to apply correction processing based on the correction value to the target track to calculate a target value and output the calculated target value, and a robot control unit configured to perform feedback control of the robot on the basis of the target value. The force control unit includes a digital filter unit. The force control unit applies digital filter processing by the digital filter unit to the sensor information to calculate a solution of an ordinary differential equation in force control and outputs the correction value on the basis of the calculated solution.",positive,in_domain
2,0.85,14/624665,9481086,humanoid-robot-commercialization-technology,Control method for floating-base robots including generating feasible motions using time warping,"A control method, and a robot controller implementing the method, is provided that adapts human motions to floating-base humanoid robots with time warping techniques. The method of modifying a set of reference motions modifies the timeline of a reference motion so as to speed up or slow down one or more of the motions or motion segments. Through the use of time warping, the velocity and acceleration profiles of the motion are changed to turn an infeasible motion into a feasible one. The optimal time warping is obtained through a generalized motion feasibility index that quantifies the feasibility of a motion considering the friction constraint as well as the center-of-pressure (CoP) constraint. Due to the use of the motion feasibility index, the proposed motion adaptation method taught herein can be applied to motions on arbitrary terrains or with any number of links in contact with the environment.",positive,in_domain
3,0.85,15/111476,10442089,humanoid-robot-commercialization-technology,Hand intended for being provided on a humanoid robot with improved fingers,"A hand intended for a humanoid robot comprises a palm and at least one finger articulated to the palm, the finger comprising at least one phalanx and an articulation linking the phalanx to the palm, the phalanx extending in a main direction. According to the invention, the articulation comprises an elastic joining piece allowing several degrees of freedom. The hand comprises motorization means for a degree of freedom in rotation out of the degrees of freedom made possible by the joining piece, the motorized degree of freedom in rotation allowing a relative movement about an axis at right angles to the main direction of the phalanx. The other degrees of freedom out of the degrees of freedom made possible by the joining piece are not motorized.",positive,in_domain
4,0.85,14/601111,9724823,humanoid-robot-commercialization-technology,"Method for controlling the walking motion of a mobile robot, and robot implementing said method","A computer program and a system for controlling walking of a mobile robot, notably a humanoid robot moving on two legs. Conventionally, control was guided by driving a zero moment point. Such driving was performed within a fixed coordinate system connected to a progression surface and assumed knowledge of the characteristics of said surface and the creation of a provisional trajectory. Such driving encountered significant limitations due to the nature of the progression surfaces on which walking can effectively be controlled and an obligation to have a perfect knowledge of their geometry; and also in respect to the necessary computing power, and the appearance of the walk which bore little resemblance to an actual human walk. The invention overcomes such limitations by providing a walk which includes a pseudo-free or ballistic phase, an impulse phase imparted by the heel of the robot, and a landing phase.",positive,in_domain
5,0.85,15/304038,9821471,humanoid-robot-commercialization-technology,Actuation of a hand to be provided on a humanoid robot,"A hand intended for a humanoid robot comprising a palm and several fingers, each of the fingers being able to be displaced in relation to the palm between a position of rest maintained by spring effect and a compressed position obtained by driving a link part with the palm countering the spring effect, comprises a motorized shaft, linked to the link part of each of the fingers, and configured to respectively displace at least one first finger and at least one second finger, from the position of rest to the compressed position, by rotation of the motorized shaft respectively in a first direction of rotation and in an opposite direction.",positive,in_domain
6,0.85,15/311113,10406699,humanoid-robot-commercialization-technology,"Secure, motor-driven hinge to be provided on a humanoid robot","A secured motorized articulation mounted between a first and a second limb of a humanoid-type robot, comprises: a motor comprising a fixed part linked to the first limb, and a mobile part that can be moved relative to the fixed part and linked to the second limb relative to the first limb, a brake capable of exerting a force on the mobile part of the motor by spring effect, to prevent the movement of the mobile part relative to the fixed part, an actuator capable of displacing the brake by opposing the spring effect, so as to release the mobile part of the motor from the force of the brake and allow the motor to move the mobile part relative to the fixed part.",positive,in_domain
7,0.85,14/827701,9987749,humanoid-robot-commercialization-technology,Control interface for robotic humanoid avatar system and related methods,"A system and method for controlling a humanoid robot from a remote location are provided. One or more sensing devices are used to sense positions and movements of a user at an inhabiter station. A computing device generates a virtual character based upon the sensed positions and movements of the user and provides a plurality of outputs for controlling the humanoid robot based upon motion of the virtual character. The computing device includes a master controller to generate the virtual character and its behaviors and to transmit instructions to control motion of the humanoid robot to a slave controller located at the humanoid robot, providing smooth and natural motion of the humanoid robot. The method permits switching between multiple virtual characters in a single scene to control and alter the behavior of one or more humanoid robots located in several geographic locations.",positive,in_domain
8,0.85,15/221081,10513038,humanoid-robot-commercialization-technology,Robot control system,"A robot control system includes a humanoid conversation robot that has a conversation with a user, at least one service execution robot that provides a service to the user, a recognition unit that recognizes a request and an emotion of the user through the conversation between the user and the humanoid conversation robot, and a determination unit that determines a service which is to be provided to the user and a service execution robot which is to execute the service among the at least one service execution robot according to the request and the emotion of the user. The service execution robot determined by the determination unit executes the determined service.",positive,in_domain
9,0.85,15/537117,10031524,humanoid-robot-commercialization-technology,Method and device for controlling gait of biped robot,"A method and a device for controlling a gait of a biped robot. The method includes: selecting gait controlling parameters, and acquiring a movement trajectory of a center of mass when a zero moment point of the biped robot is located within a steady area; obtaining first numerical values of each of the gait controlling parameters of the center of mass and second numerical values of the center of mass; setting a first constraint condition when the step starting phase ends by using the first numerical values, and setting a second constraint condition when the step ending phase starts by using the second numerical values; calculating the movement trajectories of the center of mass in the step starting phase and the step ending phase on the basis of the first constraint condition and the second constraint condition, respectively; and controlling a walking of the biped robot.",positive,in_domain
10,0.85,15/769803,10603803,humanoid-robot-commercialization-technology,Humanoid robot foot comprising an active variable stiffness mechanism,"A humanoid robot foot (10) comprises: a foot base (12), at least one leaf spring (14) acting as a flexible toe of the foot, said at least one leaf spring (14) having a rear portion (14a) rigidly connected to a flat surface (12b) of the foot base (12), a front portion (14b) projecting from the foot base (12) and an intermediate portion (14c) which is not rigidly connected to the foot base (12) and is therefore freely deflectable, along with the front portion (14b), as a result of the application of an external force on the front portion (14b), and a stiffness adjustment device (26) for actively changing the stiffness (K) of said at least one leaf spring (14). The stiffness adjustment device (26) comprises a roller assembly (28), which is held in contact with the intermediate portion (14c) of said at least one leaf spring (14) and is movable relative to said at least one leaf spring (14) along a longitudinal axis (x) of said at least one leaf spring (14), and an actuation unit (34) arranged to move the roller assembly (28), and hence the point of contact (P) of the roller assembly (28) with said at least one leaf spring (14), thereby varying the length (l) of the cantilevered portion of said at least one leaf spring (14), and hence the stiffness (K) of said at least one leaf spring (14).",positive,in_domain
