family_id,expansion_level,is_seed,text,cats.SEED,cats.NOT_SEED
64980420,SEED,1,"A kind of method that selective laser fusing prepares TiAl/TC4 microlaminate composites

The present invention provides a kind of method that selective laser fusing prepares TiAl/TC4 microlaminate composites, belongs to advanced manufacturing technology field, comprising: pretreatment formed powder；Slicing treatment constitutional detail model, cooks up scan path and parameter；Pre- hot substrate；Selective laser melting unit alternately lays formed powder, laser successively scans and forms drip molding.Have the beneficial effect that successively replacing accumulation by selective laser melting unit prepares microdisk Lasers.Basal plate preheating is utilized simultaneously, and laser in-situ, which is pre-sintered, reduces temperature gradient, improves residualinternal stress, effectively inhibits the generation of crackle, has obtained complete fine and close, the micro- lamination sample of the preferable TiAl/TC4 of comprehensive performance；Different number of plies ratios can be set according to performance requirement, the preparation of different performance demand drip molding is realized with this, reduce the limitation of the intensity, plasticity and density of drip molding to preparation method, while also extending the application field of SLM.",1,0
65903966,SEED,1,"A component for an aero engine, an aero engine module comprising such a component, and method of manufacturing said component by additive manufacturing

A component (20) for a module (5.1,5.2) of an aero engine (1), comprising an outer shell segment (21) defining a segment of a gas channel (11) radially outwards, a plurality of vane stage segments (8.1) arranged axially consecutive, each vane stage segment (8.1) comprising a plurality of vanes (22) arranged circumferentially consecutive, wherein the vanes (22) are formed integrally with the outer shell segment (21). A module for an aero engine with such components and method for manufacturing the component by additive manufacturing are also provided.",1,0
58266205,SEED,1,"Gpu material assignment for 3d printing using 3d distance fields

A method includes selecting (112) a voxel (420) from a three-dimensional build space (400) and for the selected voxel, determining a distance field value relative to a digital model of a 3D part (402) in the three-dimensional build space. The distance field value is then used to select (904) at least one material selection rule (220) and a feature of the voxel is applied (906) to the at least one material selection rule to identify a material designation (228) for the voxel. The material designation indicates no material is to be placed at the voxel when the material selection rule identifies no material for the voxel and the material designation indicates at least one material is to be placed at the voxel when the at least one material selection rule identifies the at least one material for the voxel. The material designation for the voxel is then output (126) for use in printing the 3D part using an additive manufacturing system.",1,0
36973407,SEED,1,"Preparation of elastomer seal, useful e.g. in engine, comprises molding stereolithography part/model element, opening the mold, pouring elastomer sealing, polymerizing cast material and removing silicon rubber and/or polyurethane

Preparation of elastomer seals comprises producing a stereolithography part or model element, molding the stereolithography part or model element for production of a mold for one or more elastomer seals with cast material for the mold and harnesses of the cast material, opening the mold and taking the stereo lithography part or model element, pouring the elastomer sealing, polymerizing the cast material in the mold, and removing one or more silicon rubber and/or polyurethane comprising elastomer seal (exhibiting high stability opposite to oils and fuels), from the mold. Preparation of elastomer seals comprises producing a stereo lithography part or model element, molding the stereo lithography part or model element for production of a mold for one or more elastomer seals with cast material for the mold and harnesses of this cast material, opening the mold and taking the stereo lithography part or model element, pouring the elastomer sealing, polymerizing the cast material in the mold, and removing one or more silicon rubber and/or polyurethane comprising elastomer seal from the mold, where the cast material produces from the production of the elastomer sealing by a vacuum casting procedure into the mold and the casting material comprises at least a casting material for the elastomer sealing comprising pourable group, with ambient temperature vulcanizing multi-component mixture for the production of silicon rubber and pourable mixture for the production of polyurethane, and the elastomer seals exhibit high stability opposite to oils and fuels. An independent claim is included for an elastomer seal made up of at least one cast material.",1,0
54326541,SEED,1,"Additive Manufacturing

",1,0
67299711,SEED,1,"Incorporating surface-modified components in additively manufactured components

An additive manufacturing assembly may include a surface-modified component to be incorporated into an additively manufactured component by adhering the at least one component to the additively manufactured component during an additive manufacturing technique. The surface-modified component includes a modified surface that is modified to have increased adhesion to the additively manufactured component. The additive manufacturing assembly also includes means for additively forming layers of material using the additive manufacturing technique and a computing device, the computing device is configured to control the means for additively forming layers to form a layer of material on the surface of the surface-modified component and control the means for additively forming layers to form, on the layer of material, at least one additional layer of material to form the additively manufactured component incorporating the surface-modified component.",1,0
63857707,SEED,1,"A three-dimensional printer head

The invention relates to a three-dimensional printer head (10) comprising a receiving section (15) having at least two inlets (17,19) for receiving material into the receiving section, wherein the printer head further comprises a dispensing unit (21) for printing a three dimensional product, an extrusion screw (13) at least extending between the receiving section and the dispensing unit for conditioning the material received in the receiving section and for displacing the material to the dispensing unit for dispensing the conditioned material.",1,0
70813415,SEED,1,"3D printer with shockproof base

The invention discloses a 3D printer with a shockproof base, and relates to the field of printers. According to the invention, the problems that the machine body of the existing 3D printer is thickened and enlarged in order to improve stability, the 3D printer with larger size is heavier, and the 3D printer is inconvenient to carry and move are solved by arranging the base, the connecting seat, the bracket, the guide wheel and the U-shaped frame.",1,0
69623893,SEED,1,"Additive manufacturing method and additive manufacturing apparatus

To provide an additive manufacturing method and an additive manufacturing apparatus, capable of forming metal-molded objects in various shapes, each including a porous region, efficiently through a few steps.SOLUTION: This invention provides an additive manufacturing apparatus 2 and an additive manufacturing method using the same, the apparatus including: a head 30 with a supply part 20 that supplies metal powder, together with a carrier gas, to an irradiation part 10 that irradiates an irradiation area S with laser light and an irradiation area S, and a movement mechanism 40 that relatively moves the head 30 and a molded region 60, wherein a metal hydride powder is blended in a metal powder, thereby forming a molded object 50 containing a porous region in the molded region 60.SELECTED DRAWING: Figure 1",1,0
53480774,SEED,1,"Apparatus for production of three-dimensional objects by stereolithography

A system for making three dimensional objects. The system may have a frame, a build platform movably coupled to the frame, a vat removably secured so that the build platform may be lowered within the vat, and a movable radiation source capable of movement along an x and y-axis. The vat may have a radiation permeable flat bottom. The build platform may have a work surface disposed thereon. There may be at least one stepper motor capable of moving the radiation source, the build platform, or both the radiation source and the build platform. There may also be a power source, a data reader device and or computer communication device, and a microcontroller in communication with the at least one stepper motor and at least one of the data reader device or computer communication device.",1,0
